#  n   k     p    avgNumOfCCs  stdevNumOfCCs     avgMSTCost avgMSTDiameter
  20 300     0             20              0              0              0
  20 300  0.02        16.2333        1.87942         0.1226     0.00333333
  20 300  0.04        12.6467        2.47558       0.323866       0.103333
  20 300  0.06           9.16         2.8392       0.702042           0.63
  20 300  0.08           6.56        2.67826         1.3371        1.43333
  20 300   0.1        4.43333        2.11319        2.12062        2.52333
  20 300  0.12           3.25        1.67953        2.99842           3.82
  20 300  0.14           2.35        1.21415        3.80115        5.20667
  20 300  0.16           1.86       0.973174        4.31979        6.57333
  20 300  0.18        1.50333       0.746094        4.80885        7.57333
  20 300   0.2        1.26333       0.523439        4.93422        8.66333
  20 300  0.22           1.15       0.384057        4.85044        9.14667
  20 300  0.24        1.11333       0.327346         4.5611        9.17333
  20 300  0.26        1.05333       0.224697        4.27726            9.5
  20 300  0.28        1.03667       0.235207        4.02478           9.66
  20 300   0.3        1.03333       0.179505        3.70087        9.58667
  20 300  0.32           1.01      0.0994987        3.67091        9.64667
  20 300  0.34        1.00333      0.0576387        3.43159        9.66667
  20 300  0.36        1.00333      0.0576387        3.25025        9.83333
  20 300  0.38        1.00333      0.0576387        3.09111        9.73667
  20 300   0.4        1.00333      0.0576387        2.92138        9.85667
  20 300  0.42              1              0        2.72163        9.90333
  20 300  0.44              1              0        2.62355           9.91
  20 300  0.46              1              0        2.53892        9.77667
  20 300  0.48              1              0        2.43784        9.66667
  20 300   0.5              1              0        2.31569           9.68
  20 300  0.52              1              0        2.25435        9.79667
  20 300  0.54              1              0        2.20431        9.61333
  20 300  0.56              1              0        2.10186           9.84
  20 300  0.58              1              0        2.01881           9.82
  20 300   0.6              1              0        1.93348           9.76
  20 300  0.62              1              0        1.92187           9.72
  20 300  0.64              1              0        1.81545        9.90667
  20 300  0.66              1              0        1.77042        10.0133
  20 300  0.68              1              0        1.73419        9.87667
  20 300   0.7              1              0        1.63423        9.85333
  20 300  0.72              1              0        1.59178        9.74667
  20 300  0.74              1              0        1.57492        9.89333
  20 300  0.76              1              0        1.51887        9.72333
  20 300  0.78              1              0        1.48047            9.7
  20 300   0.8              1              0        1.42761        9.87333
  20 300  0.82              1              0        1.42898           9.98
  20 300  0.84              1              0        1.40941           9.85
  20 300  0.86              1              0        1.36933            9.8
  20 300  0.88              1              0        1.30202           9.92
  20 300   0.9              1              0        1.30485        9.74333
  20 300  0.92              1              0        1.27607        9.77667
  20 300  0.94              1              0        1.24804        9.74667
  20 300  0.96              1              0        1.21549        9.69333
  20 300  0.98              1              0        1.21564           9.71
  20 300     1              1              0        1.16052           9.79
# time: 3.69659
