#  n   k     p    avgNumOfCCs  stdevNumOfCCs     avgMSTCost avgMSTDiameter
1000 300     0           1000              0              0              0
1000 300  0.02              1              0        60.2676        68.0533
1000 300  0.04              1              0        29.9768        66.5567
1000 300  0.06              1              0        20.0201        66.9633
1000 300  0.08              1              0         15.069        66.2367
1000 300   0.1              1              0        12.0489        66.7533
1000 300  0.12              1              0        10.0328          68.24
1000 300  0.14              1              0        8.58181        67.2633
1000 300  0.16              1              0        7.53558        67.2533
1000 300  0.18              1              0        6.67455        67.0933
1000 300   0.2              1              0        6.00361           66.9
1000 300  0.22              1              0        5.46969          66.97
1000 300  0.24              1              0        5.00499        66.5033
1000 300  0.26              1              0        4.63387        66.3433
1000 300  0.28              1              0        4.28964        67.2367
1000 300   0.3              1              0        3.99662           67.3
1000 300  0.32              1              0        3.76053        66.7367
1000 300  0.34              1              0        3.54908        67.1533
1000 300  0.36              1              0        3.34659        68.1833
1000 300  0.38              1              0        3.15991          68.16
1000 300   0.4              1              0         3.0075        67.4067
1000 300  0.42              1              0        2.86146        67.7333
1000 300  0.44              1              0        2.73705        66.9667
1000 300  0.46              1              0        2.61531        67.3767
1000 300  0.48              1              0        2.50376        67.3467
1000 300   0.5              1              0        2.40673          67.74
1000 300  0.52              1              0         2.3079        67.5267
1000 300  0.54              1              0        2.22536        67.0367
1000 300  0.56              1              0        2.14969        66.5833
1000 300  0.58              1              0        2.06883        66.4733
1000 300   0.6              1              0        1.99622        68.5233
1000 300  0.62              1              0        1.93853        66.6433
1000 300  0.64              1              0         1.8822        68.0833
1000 300  0.66              1              0        1.82603           67.5
1000 300  0.68              1              0        1.76776        67.1567
1000 300   0.7              1              0        1.71495           67.6
1000 300  0.72              1              0        1.66756          68.05
1000 300  0.74              1              0        1.62469        67.2433
1000 300  0.76              1              0        1.58011        66.5967
1000 300  0.78              1              0        1.54143        66.4667
1000 300   0.8              1              0         1.5064        66.8033
1000 300  0.82              1              0        1.46775        67.2633
1000 300  0.84              1              0        1.43032        67.3867
1000 300  0.86              1              0        1.39567        67.1267
1000 300  0.88              1              0          1.368          66.51
1000 300   0.9              1              0         1.3336        66.8367
1000 300  0.92              1              0        1.30542        66.8767
1000 300  0.94              1              0        1.27889          67.81
1000 300  0.96              1              0        1.25167        66.6867
1000 300  0.98              1              0        1.22581        67.2267
1000 300     1              1              0         1.2056        66.3633
# time: 28461.6
