#  n   k     p    avgNumOfCCs  stdevNumOfCCs     avgMSTCost avgMSTDiameter
 500 300     0            500              0              0              0
 500 300  0.02        1.01667       0.128019        59.4328          49.41
 500 300  0.04              1              0        30.0681          49.91
 500 300  0.06              1              0        20.1314          49.89
 500 300  0.08              1              0        15.0908        50.0767
 500 300   0.1              1              0        12.0358        50.6833
 500 300  0.12              1              0        9.98519        50.1767
 500 300  0.14              1              0        8.56042          49.88
 500 300  0.16              1              0        7.51014        50.2333
 500 300  0.18              1              0        6.68649        49.7633
 500 300   0.2              1              0        6.01446          49.27
 500 300  0.22              1              0        5.48164          49.64
 500 300  0.24              1              0        5.01942        50.1433
 500 300  0.26              1              0        4.64408        49.9967
 500 300  0.28              1              0        4.28205        50.4633
 500 300   0.3              1              0        4.01114          50.35
 500 300  0.32              1              0        3.74195          50.57
 500 300  0.34              1              0        3.52813          49.71
 500 300  0.36              1              0        3.35265        50.0033
 500 300  0.38              1              0        3.15423          49.87
 500 300   0.4              1              0        3.00272        49.5167
 500 300  0.42              1              0        2.87591          50.25
 500 300  0.44              1              0        2.73184        49.7967
 500 300  0.46              1              0         2.6171          50.42
 500 300  0.48              1              0        2.50531          50.63
 500 300   0.5              1              0        2.39833          49.89
 500 300  0.52              1              0        2.31781          50.44
 500 300  0.54              1              0        2.22003          50.04
 500 300  0.56              1              0         2.1573          49.74
 500 300  0.58              1              0        2.07009        49.5667
 500 300   0.6              1              0        1.99954           49.7
 500 300  0.62              1              0        1.93906          50.22
 500 300  0.64              1              0        1.86702        49.3567
 500 300  0.66              1              0        1.81778          49.95
 500 300  0.68              1              0        1.76762          50.61
 500 300   0.7              1              0        1.71117        50.9033
 500 300  0.72              1              0        1.66795        50.3333
 500 300  0.74              1              0        1.62961        49.2633
 500 300  0.76              1              0        1.58028          49.59
 500 300  0.78              1              0        1.54397          49.82
 500 300   0.8              1              0        1.49341        50.4867
 500 300  0.82              1              0        1.46153          50.23
 500 300  0.84              1              0        1.43241        49.8833
 500 300  0.86              1              0        1.39597        50.8333
 500 300  0.88              1              0        1.36434        50.0533
 500 300   0.9              1              0        1.33907        49.6267
 500 300  0.92              1              0        1.30325          49.84
 500 300  0.94              1              0        1.27418        50.6633
 500 300  0.96              1              0        1.25303          49.75
 500 300  0.98              1              0        1.22695        49.2733
 500 300     1              1              0         1.1997          50.61
# time: 1894.5
