#  n   k     p    avgNumOfCCs  stdevNumOfCCs     avgMSTCost avgMSTDiameter
 100 300     0            100              0              0              0
 100 300  0.02        17.1267        4.28454        2.29007        1.23333
 100 300  0.04           2.82        1.21694        12.2629          10.17
 100 300  0.06           1.23        0.47304        17.4878        21.4433
 100 300  0.08           1.03       0.170587        14.8057        23.2467
 100 300   0.1           1.01      0.0994987        11.9268        23.9833
 100 300  0.12              1              0        10.0979        23.8067
 100 300  0.14              1              0         8.5199        23.9333
 100 300  0.16              1              0        7.48958        23.6067
 100 300  0.18              1              0         6.5593        23.7767
 100 300   0.2              1              0        5.93395          24.04
 100 300  0.22              1              0        5.48697        24.3567
 100 300  0.24              1              0        4.98115        24.0033
 100 300  0.26              1              0        4.56964          24.03
 100 300  0.28              1              0        4.33981          23.84
 100 300   0.3              1              0        4.03535        23.9467
 100 300  0.32              1              0        3.75218        23.8933
 100 300  0.34              1              0        3.55643        24.1567
 100 300  0.36              1              0        3.33648        23.3933
 100 300  0.38              1              0        3.15772          23.62
 100 300   0.4              1              0        2.99228        23.9433
 100 300  0.42              1              0        2.82203        23.7367
 100 300  0.44              1              0        2.71269        23.7067
 100 300  0.46              1              0        2.62712          23.85
 100 300  0.48              1              0        2.52689        23.9367
 100 300   0.5              1              0        2.40778           23.9
 100 300  0.52              1              0        2.29519          23.55
 100 300  0.54              1              0        2.22246        23.7767
 100 300  0.56              1              0        2.15282        24.0433
 100 300  0.58              1              0        2.06261          23.79
 100 300   0.6              1              0        2.00651        23.7367
 100 300  0.62              1              0        1.93175          24.12
 100 300  0.64              1              0        1.86873        23.9733
 100 300  0.66              1              0        1.82342        23.8633
 100 300  0.68              1              0        1.76093        23.5433
 100 300   0.7              1              0        1.70711        23.9333
 100 300  0.72              1              0        1.66062        24.3267
 100 300  0.74              1              0        1.63303          23.99
 100 300  0.76              1              0        1.57799        23.3267
 100 300  0.78              1              0         1.5288        23.8967
 100 300   0.8              1              0        1.49476          23.51
 100 300  0.82              1              0        1.46598        23.6133
 100 300  0.84              1              0         1.4205        23.7233
 100 300  0.86              1              0        1.41629          23.79
 100 300  0.88              1              0        1.34955        24.2867
 100 300   0.9              1              0        1.33626          23.93
 100 300  0.92              1              0        1.29339          24.04
 100 300  0.94              1              0        1.28171        23.6833
 100 300  0.96              1              0         1.2383        23.7167
 100 300  0.98              1              0        1.22948          23.94
 100 300     1              1              0        1.19596        24.0667
# time: 71.2479
